scenario,functional,predicted_Pd_gap_kcal,Pd_signed_error_kcal,set_MAE,set_MSE,set_RMSE,delta_set_MAE,NER_frozen,overall_NER_frozen,TM_NER_frozen,delta_overall_NER_frozen,overall_rank_frozen,NER_exploratory_panel,overall_NER_exploratory_panel,TM_NER_exploratory_panel,overall_rank_exploratory_panel,delta_overall_NER_vs_current_exploratory_panel
ACCDB_experiment,CF22D,22.5781673824,3.80818306048,3.49109677367,0.6036818255,4.5626561133,-1.44792655757,0.672209389064,1.24722208519,1.00827142845,-0.00203501986629,3,0.928593686645,1.24909350342,1.03675857262,3,-0.000163601635768
ACCDB_experiment,M052X,22.6520902574,3.88210593555,8.36843132711,4.21365513131,9.87003330865,-1.44330637788,1.61133834852,1.93946481973,1.71352543347,-0.00202852633428,6,2.22591151184,1.94395075523,1.78181134051,6,0.00245740916443
ACCDB_experiment,M062X,23.8751042143,5.10511989246,6.79102158792,2.35334023664,8.52953337345,-1.36686800557,1.30760868824,1.96908335152,2.25334801925,-0.00192109436172,7,1.80633771598,1.97272370939,2.30876235567,7,0.001719263505
ACCDB_experiment,M08HX,28.5188424322,9.7488581103,4.08523152883,-2.44369130385,5.06187949717,-1.07663436695,0.786609815829,1.99196188274,2.19993270141,-0.00151317918304,8,1.08662705507,1.99415178959,2.23326795022,8,0.00067672767277
ACCDB_experiment,MN15,21.26769241,2.49770808809,5.42777110976,2.61954392745,7.45389343573,-1.52983124334,1.04511531424,2.00771922178,1.07118714192,-0.00215013458798,9,1.44372794908,2.01062880306,1.11547743468,9,0.000759446688178
ACCDB_experiment,PBE0,16.6255562238,-2.14442809805,7.06116565977,-4.54049918846,8.54411993007,-1.68593799885,1.35962482909,3.47531273225,1.57412941803,-0.00236953822213,12,1.87819309435,3.47909790207,1.63174811417,12,0.00141563159731
ACCDB_experiment,PW6B95,19.2755297995,0.50554547766,4.14851780067,-1.63892589502,5.63346208556,-1.65434140649,0.798795564,3.27503180197,1.32818777237,-0.00232513010432,11,1.10346051352,3.27725563372,1.36203943342,11,-0.000101298355981
ACCDB_experiment,SOGGA11X,19.1952185643,0.425234242387,3.85616523316,2.20314265547,5.15010657302,-1.6593608587,0.742503185547,4.11252459154,1.99930871514,-0.00233218480257,14,1.02569791739,4.11459170637,2.03077479645,14,-0.000265069971594
ACCDB_experiment,r2SCAN0,12.0108313458,-6.7591529761,15.3529172136,-5.29982730889,21.7320986821,-1.68593799885,2.95619851571,2.80930445908,1.6207893425,-0.00236953822213,10,4.08370862237,2.81753445986,1.74606824324,10,0.00586046255642
ACCDB_experiment,wB97M-V,24.7833539598,6.01336963786,3.79560832163,-1.59313536585,4.49799774522,-1.31010239648,0.730842974692,1.07369719044,1.15963322976,-0.00184131190203,2,1.00959043904,1.07573184346,1.19060517025,2,0.000193341122371
ACCDB_experiment,wB97X-V,22.8991443142,4.12915999229,4.80968577301,-2.73410718692,5.56157900994,-1.42786549933,0.926103211874,1.31089829683,1.23756324951,-0.00200682461575,4,1.27932398702,1.31347655066,1.2768100023,4,0.000571429217422
ACCDB_experiment,revDSD-PBEP86-D4,21.0679882038,2.29800388195,2.78257666629,-0.060710664209,3.91533112436,-1.54231275623,0.535784105149,1.51979179003,1.32003525513,-0.00216767700167,5,0.740135061397,1.52128340285,1.34274091694,5,-0.000676064182345
SI_AWQZ,wB97M2,22.7156080214,2.39560802143,4.2841821033,-1.39296634251,8.01480999457,-1.48777450757,0.824917675159,0.946441460024,1.02004237394,-0.00209102503413,1,1.1373412883,0.948721924354,1.05475610874,1,0.000189439295345
SI_AWQZ,B3LYP,16.8687958387,-3.45120416126,5.82483063,1.13950231912,6.98639693442,-1.63750000891,1.12156897761,5.68885882554,2.09364072643,-0.00230145999585,16,1.54634425267,5.691959375,2.14083797921,16,0.000799089457154
SI_AWQZ,BMK,-6.45541743184,-26.7754174318,6.62744063009,-2.0030918471,9.69815503699,-1.63750000891,1.27611123547,4.52131863852,1.95444732515,-0.00230145999585,15,1.75941677608,4.52484641619,2.00814794077,15,0.00122631767285
